INFO 2025-01-03 01:09:40,700 Watching for file changes with StatReloader
INFO 2025-01-03 01:09:44,850 "GET / HTTP/1.1" 302 0
INFO 2025-01-03 01:09:45,047 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2025-01-03 01:09:45,208 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2025-01-03 01:09:45,208 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2025-01-03 01:09:45,224 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2025-01-03 01:09:45,224 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2025-01-03 01:09:45,224 "GET /static/dist/css/login-page.css HTTP/1.1" 200 8610
INFO 2025-01-03 01:09:45,224 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13632
INFO 2025-01-03 01:09:45,240 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2025-01-03 01:09:45,240 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2025-01-03 01:09:45,741 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2025-01-03 01:09:45,741 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2025-01-03 01:09:45,741 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2025-01-03 01:09:45,741 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2025-01-03 01:09:45,741 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2025-01-03 01:09:45,807 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2025-01-03 01:09:46,112 Not Found: /favicon.ico
WARNING 2025-01-03 01:09:46,112 "GET /favicon.ico HTTP/1.1" 404 8149
INFO 2025-01-03 01:10:37,590 "POST /accounts/login/ HTTP/1.1" 200 4106
INFO 2025-01-03 01:10:37,600 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,600 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,602 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,605 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,605 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,605 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,606 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,606 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,606 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,609 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,609 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,609 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:10:37,610 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:30,841 Watching for file changes with StatReloader
INFO 2025-01-03 01:11:37,410 "GET / HTTP/1.1" 302 0
INFO 2025-01-03 01:11:37,476 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,510 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,522 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,522 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,522 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:11:37,576 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:11:47,966 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2025-01-03 01:11:47,978 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:11:48,047 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25780
INFO 2025-01-03 01:11:48,066 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2025-01-03 01:11:49,821 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042446
INFO 2025-01-03 01:11:50,663 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:11:56,628 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2025-01-03 01:11:58,134 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2025-01-03 01:11:59,636 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2025-01-03 01:12:03,408 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2025-01-03 01:12:07,381 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2025-01-03 01:12:09,988 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2025-01-03 01:12:12,330 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:12:15,520 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2025-01-03 01:12:27,989 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2025-01-03 01:12:31,380 "GET /term/list/ HTTP/1.1" 200 12231
INFO 2025-01-03 01:12:31,392 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,393 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,395 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,395 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,396 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,396 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:31,396 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,973 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2025-01-03 01:12:46,984 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,985 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,987 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,990 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,990 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:46,991 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:12:49,084 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:31:45,372 Watching for file changes with StatReloader
INFO 2025-01-03 01:31:49,363 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:31:49,437 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,437 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,442 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,447 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,447 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,452 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,457 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,463 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,472 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,472 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,484 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,484 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,492 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,583 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:31:49,585 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:31:52,702 "GET / HTTP/1.1" 200 9290
WARNING 2025-01-03 01:31:56,708 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-01-03 01:31:56,714 Method Not Allowed: /accounts/logout/
WARNING 2025-01-03 01:31:56,715 "GET /accounts/logout/ HTTP/1.1" 405 0
WARNING 2025-01-03 01:31:59,219 Method Not Allowed (GET): /accounts/logout/
